item_name,category,subcategory,specific_category
ג'ילדה לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
מי רכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
עץ ריח לרכבים,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב כפפה,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב כפפת 1 יחידה,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב כפפת 1 יחידה,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב מטליות לחות80,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב מטליות לחות80,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב מטלית ג'י,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב מטלית לחלון1י,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב מטלית מיק,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ניקול לרכב שקיות אשפ,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
עץ ריח לרכבים,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
פחית ריח לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
פחית ריח לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
פחית ריח לרכב סיף,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ג'ילדה לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
ריחן לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
מפיץ ריח לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
מפיץ ריח לרכב,אחזקה וניקיון,אביזרי ניקיון,אביזרי ניקיון לרכב
