קטגוריה,תת קטגוריה ,קטגוריה ספציפית
מוצרי חלב,יוגורט ומעדני חלב,מעדני חלב
מוצרי חלב,יוגורט ומעדני חלב,"לבן, אשל ושמנת חמוצה"
מוצרי חלב,יוגורט ומעדני חלב,יוגורט פרי ויוגורט בטעמים
מוצרי חלב,יוגורט ומעדני חלב,יוגורט ומעדנים
מוצרי חלב,יוגורט ומעדני חלב,יוגורט ומשקאות מועשרים בחלבון 
מוצרי חלב,יוגורט ומעדני חלב,מעדנים ללא לקטוז
מוצרי חלב,"חמאה, מרגרינה ושמנת",שמנת וקצפת
מוצרי חלב,"חמאה, מרגרינה ושמנת",חמאה ומרגרינה
מוצרי חלב,משקאות חלב,משקאות חלב
מוצרי חלב,משקאות חלב,חלב דל לקטוז
מוצרי חלב,משקאות חלב,חלב עיזים וכבשים
מוצרי חלב,משקאות חלב,תחליפי חלב
מוצרי חלב,גבינות,גבינה צהובה
מוצרי חלב,גבינות,מוצרלה
מוצרי חלב,גבינות,גבינה מלוחה
מוצרי חלב,גבינות,גבינה לבנה וקוטג'
מוצרי חלב,גבינות,לאבנה וגבינות רכות
מוצרי חלב,גבינות,גבינת שמנת ומותכת
מוצרי חלב,גבינות,גבינות קשות ומיוחדות
מוצרי חלב,גבינות,גבינות עיזים וכבשים
"סלטים, ממרחים וביצים",ממרחים ומתבלים מצוננים,סלטי חומוס
"סלטים, ממרחים וביצים",ממרחים ומתבלים מצוננים,אריסה וסחוג
"סלטים, ממרחים וביצים",ממרחים ומתבלים מצוננים,סלטי טחינה
"סלטים, ממרחים וביצים",ממרחים ומתבלים מצוננים,ממרחים ומטבלים נוספים
"סלטים, ממרחים וביצים",סלטים מצוננים,סלטי כרוב
"סלטים, ממרחים וביצים",סלטים מצוננים,סלטי דגים
"סלטים, ממרחים וביצים",סלטים מצוננים,סלטי ירקות
"סלטים, ממרחים וביצים",סלטים מצוננים,סלטי חצילים
"סלטים, ממרחים וביצים",ביצים,ביצים
"פירות, ירקות ופיצוחים",פיצוחים ופירות יבשים,פיצוחים קלויים
"פירות, ירקות ופיצוחים",פיצוחים ופירות יבשים,פיצוחים טבעיים
"פירות, ירקות ופיצוחים",פיצוחים ופירות יבשים,מנצ'ס - נשנושים
"פירות, ירקות ופיצוחים",פיצוחים ופירות יבשים,מסוכרים ומצופים
"פירות, ירקות ופיצוחים",פיצוחים ופירות יבשים,פירות יבשים
"פירות, ירקות ופיצוחים",פירות,פירות טריים
"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
"פירות, ירקות ופיצוחים",ירקות,ירקות ארוזים
"פירות, ירקות ופיצוחים",ירקות,עשבי תיבול
בשר ודגים,עוף ובשר קפוא,עוף קפוא
בשר ודגים,עוף ובשר קפוא,בשר קפוא
בשר ודגים,בשרים על האש,שיפודים וסטייקים
בשר ודגים,בשרים על האש,קבב
בשר ודגים,בשרים על האש,המבורגר
בשר ודגים,עוף טרי,עוף טרי שלם ארוז
בשר ודגים,עוף טרי,חזה עוף ופרגיות
בשר ודגים,עוף טרי,כרעיים ושוקיים
בשר ודגים,עוף טרי,חלקי עוף נוספים
בשר ודגים,דגים,דגים טריים
בשר ודגים,דגים,דגים קפואים
בשר ודגים,בשר בקר וכבש טרי,בשר טחון
בשר ודגים,בשר בקר וכבש טרי,נתחים
בשר ודגים,נקניקיות ונקניקים,נקניקיות
בשר ודגים,נקניקיות ונקניקים,נקניק
בשר ודגים,נקניקיות ונקניקים,פסטרמה וסלמי
בשר ודגים,נקניקיות ונקניקים,קבנוס
משקאות,משקאות קלים,מים וסודה בטעמים
משקאות,משקאות קלים,משקאות קלים
משקאות,משקאות קלים,משקאות מוגזים
משקאות,משקאות קלים,"מיץ טבעי ומצונן, נקטר פירות"
משקאות,משקאות קלים,משקאות אישיים
משקאות,תרכיזים,סירופ ותרכיזים
משקאות,יינות,מיץ ענבים - תירוש
משקאות,יינות,יינות מבעבעים
משקאות,יינות,יינות לבנים
משקאות,יינות,יינות אדומים
משקאות,אלכוהול ואנרגיה,סיגריות וטבק
משקאות,אלכוהול ואנרגיה,משקאות חריפים
משקאות,אלכוהול ואנרגיה,בירות 
משקאות,אלכוהול ואנרגיה,משקאות אנרגיה
משקאות,משקאות חמים,קפה שחור
משקאות,משקאות חמים,קפה נמס 
משקאות,משקאות חמים,קפסולות ופולי קפה
משקאות,משקאות חמים,שוקו חם וסחלב
משקאות,משקאות במארזים,משקאות קלים במארזים
משקאות,משקאות במארזים,משקאות מוגזים במארזים
משקאות,משקאות במארזים,מים וסודה במארזים
משקאות,תה וחליטות,חליטות וחליטות קרות
משקאות,תה וחליטות,תה ירוק
משקאות,תה וחליטות,תה שחור
אורגני ובריאות,תחליפי גבינה וטופו,תחליפי גבינה
אורגני ובריאות,תחליפי גבינה וטופו,טופו
אורגני ובריאות,מזון ותוספים,תוספי חלבון
אורגני ובריאות,מזון ותוספים,ויטמינים
אורגני ובריאות,ללא גלוטן,מוצרים ללא גלוטן
אורגני ובריאות,נטול ומופחת סוכר,מוצרים מופחתי סוכר
אורגני ובריאות,נטול ומופחת סוכר,חטיפים ומתוקים מופחתי סוכר
אורגני ובריאות,נטול ומופחת סוכר,ממתיקים
אורגני ובריאות,אורגני וטבעוני,מוצרים אורגניים
אורגני ובריאות,אורגני וטבעוני,מוצרים טבעוניים
אורגני ובריאות,תחליפי בשר,תחליפי בשר יבשים
אורגני ובריאות,תחליפי בשר,תחליפי בשר קפואים
קפואים,"פיצות, מאפים ובצקים קפואים",בורקסים ופיצות
קפואים,"פיצות, מאפים ובצקים קפואים","קובה, סיגרים ופסטלים"
קפואים,"פיצות, מאפים ובצקים קפואים",בצק קפוא
קפואים,"פיצות, מאפים ובצקים קפואים","מלוואח, ג'חנון ומוצרי בצק"
קפואים,"ירקות, פירות וצ'יפס קפואים",ירקות קפואים
קפואים,"ירקות, פירות וצ'יפס קפואים",פירות קפואים
קפואים,"ירקות, פירות וצ'יפס קפואים",צ'יפס וטבעות בצל
