item_id,general_category,sub_category,specific_category
100,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
1004388,בשר ודגים,בשר בקר וכבש טרי,נתחים
1004630,בשר ודגים,בשר בקר וכבש טרי,נתחים
1004685,בשר ודגים,בשר בקר וכבש טרי,נתחים
1004746,בשר ודגים,בשר בקר וכבש טרי,נתחים
101,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
102,"פירות, ירקות ופיצוחים",ירקות,ירקות ארוזים
103,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
104,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
105,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
106,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
107,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
108,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
109,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
10900678148,חד פעמי ומתכלה,"עטיפות, שקיות ותבניות",רדיד אלומיניום וניילון נצמד
110,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
111,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
1124680,בשר ודגים,עוף ובשר קפוא,בשר קפוא
113,"פירות, ירקות ופיצוחים",פירות,פירות טריים
114,"פירות, ירקות ופיצוחים",פירות,פירות טריים
115,"פירות, ירקות ופיצוחים",פירות,פירות טריים
116,"פירות, ירקות ופיצוחים",פירות,פירות טריים
117,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
120,"פירות, ירקות ופיצוחים",פירות,פירות טריים
1206843,בשר ודגים,דגים,דגים טריים
121,"פירות, ירקות ופיצוחים",פירות,פירות טריים
122,"פירות, ירקות ופיצוחים",פירות,פירות טריים
1230000116022,אורגני ובריאות,תחליפי בשר,תחליפי בשר קפואים
1230000116466,קפואים,אוכל להכנה מהירה,מוצרים צמחוניים מוכנים
1230000147576,קפואים,אוכל להכנה מהירה,מוצרים צמחוניים מוכנים
1230000147880,קפואים,אוכל להכנה מהירה,מוצרים צמחוניים מוכנים
132,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
134,"פירות, ירקות ופיצוחים",פירות,פירות טריים
137,"פירות, ירקות ופיצוחים",פירות,פירות טריים
138,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
139,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
140,"פירות, ירקות ופיצוחים",פירות,פירות טריים
141,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
142,"פירות, ירקות ופיצוחים",פירות,פירות טריים
143,"פירות, ירקות ופיצוחים",ירקות,ירקות טריים
1464052,בשר ודגים,דגים,דגים קפואים
1464106,בשר ודגים,דגים,דגים קפואים
1464953,בשר ודגים,דגים,דגים קפואים
