item_id,item_name
7290017873008,  שקיות רב שימושיות
7290112870179, ממרח פלפלים קלויים
7290112870179, ממרח פלפלים קלויים
7290108359015,שקיות זיפר עם סליידר
7290000295404," 60 שקיות אשפה עם שרוך, 65*54 ס""מ XL"
7290013269911," K-333, לקטילת נמלים ותיקנים"
7290000288253, K-400 קוטל מעופפים
7290107280549, K-400 קוטל מעופפים
7290000288390, K-600 ליתושים 
5900951316272, M&M בוטנים 150 גרם
5900951316227, M&M שוקולד 150 גרם
5900951307249, M&M's בוטנים 45 גרם
42429401,דאודורנט סטיק שחור ולבן NIVEA
7290008343572," אגרול סיני 1 ק""ג"
7290017752709, אטריות אורז דקות 
7290017752716, אטריות אורז רחבות
7290015603188, אטריות ביצים 
7290015603225, אטריות עם גזר 
7290016865943, איטריות ביצים פטוצ'יני
7290017031323, איטריות ביצים פפרדלה
4891228308032, אינטואישן לאשה ידית+5
7290008310703, אמפנדס במילוי בשר
8700216134712, אריאל קפסולות  יח'41 בניחוח לנור
7290016865875, בורגול רמי לוי
7290010153510, בורגול מיה
077975022757,סניידרס בייגל בסגנון אמריקאי
7290017928289, בייגלה שמיניות עם מלח 
5000396037531, ביסקוויט חיטה עם שוקולד חלב
7290101113959, בליסימו 900 וניל פליק
7290101113935, בליסימו 900 וניל צרפתי
7290002735960, בצק פילאס תורכי 
7290002735953, בצק פריך מלוח 
7290002735946, בצק פריך מתוק 
7290018165027," ברקן,רזרב גולד רוזה "
7290003976799, ג'ל מסיר כתמים רמי לוי 
7290014760912, גבינה חצי קשה 28% שומן
7290014760912, גבינה חצי קשה 28% שומן
7290017065236, גד גבינת מעודנת
7290017065236, גד גבינת מעודנת
7290017065175, גד מנצ'גו פרוס 39% שומן
7290017065175, גד מנצ'גו פרוס 39% שומן
7290015172028, גיוזה בטטה 
7290015172097, גיוזה בקר 
7290015172202, גיוזה ירקות אדממה
7290015172011, גיוזה עוף 
7290015172219, גיוזה עוף פטריות ופקאן
7290015172073, גיוזה פטריות
076840100583, גלידה בצק עוגיות
076840100156, גלידה צ'רי צ'רי דרים
7290101112228, גלידל פרי דיאטטי אננס
7290006199218, גלידל שלגון מופחת קלוריות בטעם אייס מוקה
7290017266640, גליליות וופל במילוי קרם בטעם אגוז לוז
7290001041154, גריסים
7290100704912, גרעיני תירס ללא סוכר
7290104962134," דאודורנט נושם+ רולאון לנערות ללא אלומיניום 75 מ""ל"
4800888209429, דאודורנט סטיק כותנה
7290002782735, דאודורנט ספריי לגבר
7290003258291, דאודורנט ספריי לנשים פרחוני
7290000288307, דוחה יתושים חשמלי באמצעות לוחיות אידוי
7290108357066, דיאודורנט Soft Peony ספריי 
7290108357103, דיאודורנט White Flower ספריי 
7290005839078, דנונה ביו לבן 3% שמינייה 
7290005839078, דנונה ביו לבן 3% שמינייה 
8934878081866, דפי אורז
7290116531762, דפים למייבש כביסה ורוד
7290116531779, דפים למייבש כביסה כחול
8000380153534, וופל טורטינה שוקולד לבן
8002190003382, וופל פריך במילוי קרם אגוזי לוז  
9001616702716, זוג מוצצים זוהר בחושך
7290002057062, זיתים ירוקים מנזנילו 
7290003681693, חומוס גדול 
7290115411478, חומוס מסבחה חריף אדום 
7290115411478, חומוס מסבחה חריף אדום 
7290004737900, חלב כחוש מרוכז וממותק
7290004737900, חלב כחוש מרוכז וממותק
7290003578412, חצאי אפרסקים בסירופ קל 
7290000208008, חריסה רסק פלפל וירקות חריף 
7290001594575, טובורג רד פחית
7290110328788, יוגורט GO סמיך אפרסק
7290110328788, יוגורט GO סמיך אפרסק
7290018564547, ירקות חמוצים בטעם ביתי 
7290018564585, ירקות כבושים חמוץ מתוק  
7290005427756, כיף אל סבון אלוורה
7290108356113, כיף תחליב רחצה חלב ודבש
7290000110844, כיפלי חטיף בטעם גריל
7290000379203, לחם עינן קל עם חיטה מלאה טרום נבוטה 
7290008713917, לחם שיפון כהה
7290108272147, ליפתניות לבנות   
7290018564127, לקט ירקות למרק קוסקוס 
7290108356854, מגבונים בניחוח עדין
3574661554884, מגן תחתון כותון טנגה מבושם 56 יחידות
3574661554877, מגן תחתון כותון מבושם 56 יחידות 
3574661487618, מגן תחתון פלוס לארג מבושם 48 יחידות
5061013944991, מונסטר Aussie Lemonade
5060896625249, מונסטר U.F זירו
5061013942249, מונסטר Ultra Gold Zero
5060751219033, מונסטר אולטרה פרדייס
5060639128051, מונסטר אולטרה
5060517886486, מונסטר אנרג'י 
5061013942331, מונסטר גרין זירו
5060947547100, מונסטר מונרך
5060639129102, מונסטר מנגו
5060751218173, מונסטר פייפליין פאנץ
7290108351699, מטליות לחות לניקוי כללי 
7290005423567," מטליות לניקוי כללי בגליל, 40 יחידות בצבע צהוב"
7290117904152, מיני ניוקי 500 גרם שקדיה 
7290114604895, ממרח ספייסי לחיץ 
7622202030635, ממרח צמחי בתוספת חלבון שקדים ושיבולת שועל
7290114604901, ממרח שום לחיץ
7290003060535, מנופה קמח חיטה לבן בהיר
7290003060580, מנופה קמח חיטה לבן מלא 
7290003060573, מנופה קמח כוסמין מלא
7290003060566, מנופה קמח שיפון מלא
7290010259830, מנת השף נודלס בטעם סיני-פיקנטי 
7290010259854, מנת השף נודלס בטעם פטריות 
7290018532294, מסיכה לשיער גקוב פרופשיונל
7290014860070, מקלוני אורז ללא גלוטן
7290000288642, מרכך כביסה ורוד 
8718951579897, מרכך כביסה מרוכז לבנדר
7290107280709, נוזל הברקה למדיח 
7290011765620, נוזל כלים אקולוגי ידני 
7290005423635, נוזל לניקוי רצפה 
7290108355079, נטורל פורמולה קרם לחות עם שמן קוקוס 
7290017928722, ניגובים שומשום 300 גרם
7290108355154, נקה 7 שמפו שמני הזנה 
7290010718634, סבון נוזלי 1 ליטר קמומיל לבן
7290006185501, סבון נוזלי קמומיל ורוד
7290110325305, סויה GO מתיקות מעודנת
7290110325305, סויה GO מתיקות מעודנת
7290011830007, סוכר קנים חום אורגני 
7290107280747," ספארק 700 מ""ל"
4009900482967, סקיטלס בטעם פירות 
4009900513791, סקיטלס בטעם פירות חמוצים 
7290000208947, עגבניות קצוצות
7290001041208, עדשים ירוקות
8008698005231, עוגיות סנדוויץ בטעם שוקולד ממולאות קרם חלב ללא גלוטן 
7290002814580, פותח סתימות
7290006511157, פטריות שמפניון שלמות 
7290116534732, פינוק בייבי שמפו אל סבון
7290018564806, פיצה מרגריטה 
7290018564813, פיצה מרגריטה עם זיתים ירוקים 
8718951556140, פלמוליב סבון גוף סופר פוד אסאי ושיבולת שועל
8718951556126, פלמוליב סופר פוד אשכולית וגינגר
7290004219505, פלפלים אדומים קלויים 
8690777221405, פלפלים אדומים קלויים על האש
7290108351712, פניני בישום לכביסה
8008912010485, פסטה טופה מספר 48
7290002730941, פסי צמר גפן 
7290111564291, פריכיות דקות עם קינואה 
8423207208871, פרכיות תירס בטעם טבעי 
8423207208888, פרכיות תירס עגבניות ועשבי תיבול
7290014455245, פרמז'ן גרנה פדנו
7290014455245, פרמז'ן גרנה פדנו
7290118424499, פרפקטו פסטה ספגטי לל.גלוטן  
7290016733518, פתיתים אפויים עם בצל בצורת קוסקוס
7290002043232, צ'יפס משפחתית טקסס ברביקיו 
7290114311984, צפתית 5% משק צוריאל
7290114311984, צפתית 5% משק צוריאל
7290110321277, קוטג' בקטנה 5%
7290110321277, קוטג' בקטנה 5%
8710502447006, קוקי'ס אנד קרים
7290116058306, קערית אובלית גדולה שקוף
7290108270723, קערת סלט אובלית גדולה שקוף
7290114608640, קרוטונים מקמח כוסמין
7290001274934, קרחון שרבט דיאטטי דל קלוריות עם פרי בטעם למון ליים
7290010718023, קרם גוף ורוד איזבלה
7290005500916, קרם ידיים שמן נרולי
7290006789648, קרם לחות לשיער יבש
7290005423482, קרם לניקוי כיריים 
7290117381199, קרם קוקוס 
7290114604925, קרם קוקוס לייט
8850367992171, קרם קוקוס ללא גלוטן 
7290013262295, רדיד אלומניום 
7290000208855, רוטב לפסטה קלאסי 
7290101114291, שלגון יולו אייס קפה (4)
7290013121103, שליש באגט גרינלייט
7290003387410, שלישיית פדים להסרת איפור
8006540822739, תחבושות קואטרו לילה בטוח 
4005808813063, תחליב לחות לאחר גילוח 
7290111933561, תערובת ציפוי נאגטס 
7290100703861, תערובת קסם לחלה 
7290012117039,00 לאמבטיה
7290107937542,1.2% משקה אקטיביה תות
7290107937542,1.2% משקה אקטיביה תות
7290107934473,1.5% דנונה אקטיביה
7290107934473,1.5% דנונה אקטיביה
7290002128434,10 נרות שולחן
7290001598764,10 פיתות 100% קמח כוסמין מלא
7290108352870,"10 שקיות צלייה XL בגודל 35*50 ס""מ"
5202300045834,10/0 קולסטון בלונד פסטל
7290108359107,"100 שקיות זיפר מידה S בגודל 15*16 ס""מ"
7290011498993,100% ממרח קשיו לבן
8888757103005,100% שמן שומשום טבעי לא מזוכך 
7290108359077,120 ממחטות אף בעלות 3 שכבות עשירות בלחות בקופסא
7290108359008,"15 שקיות זיפר עם סליידר , מידה L, 26*27 ס""מ"
7290005424847,"150 מפיות אירוח לבנות, 30*30 ס""מ"
7290002128540,2 כוסיות זכוכית לנריות שבת 
7290011877842,2 שקיות ואקום XXXL+L
7290011877835,"2 שקיות ואקום לאחסון רב פעמי, XXL בגודל 55*90 ס""מ"
7290108353518,"2 תבניות אלומיניום עם ידיות אחיזה XL בגודל 29*34 ס""מ"
7290005425202,2.5 מקסימה ביו
5202300043069,2/8 קולסטון שחור כחול
7290118070900,20 מפיות נייר איכותיות
7290118070931,20 מפיות נייר איכותיות
7290118070979,20 מפיות נייר איכותיות
7290118070986,20 מפיות נייר איכותיות
7290107280129,"20 שקיות אשפה ירוקות ענקיות XXL בגודל 78*90 ס""מ"
7290108352788,"20 שקיות זיפר בגודל L 26*27 ס""מ"
7290108352863,20 שקיות צלייה L בגודל 25*38 ס
7290108353006,250 שקיות אוכל נקשרות XL גדולות במיוחד
